top - 13:00:58 up 5 min,  2 users,  load average: 0.60, 0.50, 0.23
Tasks: 148 total,   1 running, 147 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.7 us,  0.0 sy,  0.0 ni, 83.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :    426.2 total,     43.9 free,    228.2 used,    205.4 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    198.0 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  942 pi        20   0  218552  56048  41840 S   0.0  12.8   0:03.06 node
 1050 pi        20   0   20600   6800   6192 S   0.0   1.6   0:00.05 journalctl
 1074 pi        20   0   69200  20368  11340 S   0.0   4.7   0:04.35 python
 1079 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
 1082 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
 1084 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/1+
 1099 pi        20   0    6660   1600   1528 S   0.0   0.4   0:00.00 sleep

top - 13:01:01 up 5 min,  2 users,  load average: 0.60, 0.50, 0.23
Tasks: 149 total,   2 running, 147 sleeping,   0 stopped,   0 zombie
%Cpu(s): 32.9 us,  1.9 sy,  0.0 ni, 64.8 id,  0.3 wa,  0.0 hi,  0.1 si,  0.0 st 
MiB Mem :    426.2 total,     35.2 free,    236.8 used,    205.5 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    189.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1104 pi        20   0   28968  16800  10796 R  13.2   3.8   0:00.40 python
  925 pi        20   0  235672 101996  52684 S   2.6  23.4   0:13.38 node
    1 root      20   0   35700  10284   8196 S   1.6   2.4   0:04.67 systemd
  888 pi        20   0  204920  77152  45980 S   1.6  17.7   0:14.95 node
  396 message+  20   0    7580   4148   3472 S   1.3   1.0   0:02.24 dbus-daem+
 1074 pi        20   0   69200  20368  11340 S   1.0   4.7   0:04.38 python
  836 pi        20   0   45352  16896  12928 S   0.7   3.9   0:01.86 code-7d84+
 1100 pi        20   0   12048   4652   2752 R   0.7   1.1   0:00.08 top
   17 root      20   0       0      0      0 I   0.3   0.0   0:00.18 rcu_sched
   74 root       0 -20       0      0      0 I   0.3   0.0   0:00.83 kworker/u+
  162 root      20   0       0      0      0 S   0.3   0.0   0:00.06 jbd2/mmcb+
  229 root      20   0   24916   7032   6180 S   0.3   1.6   0:00.88 systemd-j+
  416 root      20   0   14480   6432   5744 S   0.3   1.5   0:00.48 systemd-l+
  817 pi        20   0   15156   6692   5100 S   0.3   1.5   0:00.57 sshd
  917 pi        20   0  199016  49908  40936 S   0.3  11.4   0:01.93 node
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
    3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_work+
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    9 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker/0+
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker/0+
   12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
